Source,Link,Title,Content
Waterford City & County Council,council/councillors/dungarvan-lismore/sodonnell.htm,Waterford City & County Council :  Current Councillor SÈamus O'Donnell,"
Councillor S…AMUS O'DONNELL
			Independent
		E-Mail: cllrseodonnell@waterfordcouncil.ie

        Mobile: 087 6859270

Address: Loskeran, Old Parish, Dungarvan, Co.Waterford.


"
Waterford City & County Council,council/councillors/dungarvan-lismore/tcronin.htm,Waterford City & County Council :  Current Councillor Tom Cronin,"
Councillor TOM CRONIN
			Fianna F·il

"
Waterford City & County Council,council/councillors/dungarvan-lismore/tphelan.htm,Waterford City & County Council :  Current Councillor Thomas Phelan,"
Councillor THOMAS PHELAN
			The Labour Party
 Current Councillor Phelan was elected to Waterford City & County Council in the Local Elections of May 2019.
"
Waterford City & County Council,council/councillors/index.htm,Waterford City & County Council : Your Councillors,"Comeragh (5)

    Liam Brazil (FINE GAEL)
    Declan Clune (Independent)
    Ger Barron (LABOUR)
    John O'Leary (FIANNA F¡IL)
    Se·nie Power (FINE GAEL)

Dungarvan (6)

    Damien Geoghegan (FINE GAEL)
    Pat Nugent (FINE GAEL)
    SÈamus O'Donnell (Independent)
    Thomas Phelan (LABOUR)
    Tom Cronin (FIANNA F¡IL)
    Conor D. McGuinness (SINN F…IN)

Lismore (3)

    Declan Doocey (FINE GAEL)
    John Pratt (LABOUR)
    MairÈad Tobin (FIANNA F¡IL)

Tramore / Waterford City West (6)

    Eamon Quinlan (FIANNA F¡IL)
    Joe Conway (Independent)
    Jim Griffin (SINN F…IN)
    Joe Kelly (Independent)
    Lola O'Sullivan (FINE GAEL)
    Cristiona Kiely (GREEN PARTY)

Waterford City East (6)

    Adam Wyse (FIANNA F¡IL)
    David Daniels (Independent)
    Stephanie Keating (FIANNA F¡IL)
    Jody Power (GREEN PARTY)
    Mary Roche (SOCIAL DEMOCRATS)
    Pat Fitzgerald (SINN F…IN)

Waterford City South (6)

    Joeanne Bailey (SINN F…IN)
    Frank Quinlan (FINE GAEL)
    John Hearne (SINN F…IN)
    Jason Murphy (FIANNA F¡IL)
    Donal Barry (Independent)
    SÈamus Ryan (LABOUR)"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/ckiely.htm,Waterford City & County Council :  Current Councillor Cristiona Kiely,"
Councillor CRISTIONA KIELY
			The Green Party
		E-Mail: cllrckiely@waterfordcouncil.ie

        Mobile: 087 1935017

Address: 27 Queens's Street, Tramore, Co. Waterford


"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/equinlan.htm,Waterford City & County Council :  Current Councillor Eamon Quinlan,"
Councillor EAMON QUINLAN
			Fianna F·il 
		E-Mail: cllrequinlan@waterfordcouncil.ie

        Mobile: 087 2913887  

					



"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/index.htm,Waterford City & County Council : Tramore - Waterford City West,"""Tramore - Waterford City West"" is the electoral area representing Tramore and the western parts of Waterford City.  This electoral area,  along with Waterfortd City East and Waterford City South, make up the Waterford Metropolitan District. 

Tramore - Waterford City West has 6 elected members.  The Metropolitan Council meets once per month, with meetings scheduled for the third Monday of every month (except August). The venue for these meetings is the Council Chamber, City Hall, Waterford.  The current Councillors for this area are : 

"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/jconway.htm,Waterford City & County Council :  Current Councillor Joe Conway,"
Councillor JOE CONWAY
			Independent
		E-Mail: cllrjconway@waterfordcouncil.ie

        Mobile: 086 2838883

Address: ""An Druim√É ≠n"", Roselawn, Tramore, Co. Waterford.

"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/jgriffin.htm,Waterford City & County Council :  Current Councillor Jim Griffin,"
Councillor JIM GRIFFIN
			Sinn FÈin
		E-Mail: cllrjgriffin@waterfordcouncil.ie
Telephone: 051 383829
        Mobile: 087 2614192

"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/jkelly.htm,Waterford City & County Council :  Current Councillor Joe Kelly,"
Councillor JOE KELLY
			Independent
		E-Mail: cllrjkelly@waterfordcouncil.ie

        Mobile: 087 2717017

"
Waterford City & County Council,council/councillors/metropolitan/tramore-watcity-west/losullivan.htm,Waterford City & County Council :  Current Councillor Lola O'Sullivan,"
Councillor LOLA O'SULLIVAN
			Fine Gael
		E-Mail: cllrlosullivan@waterfordcouncil.ie


"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/awyse.htm,Waterford City & County Council :  Current Councillor Adam Wyse,"
Councillor ADAM WYSE
			Fianna F·il
		E-Mail: cllrawyse@waterfordcouncil.ie
Telephone: 051 879912
        Mobile: 085 1801243

"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/index.htm,Waterford City & County Council : Waterford City East,"""Waterford City East"" is the electoral area representing the eastern parts of Waterford City.  This electoral area, along with Tramore - Waterford City West and Waterford City South, make up the Waterford Metropolitan District. 

Waterford City East has 6 elected members.  The Metropolitan Council meets once per month, with meetings scheduled for the third Monday of every month (except August). The venue for these meetings is the Council Chamber, City Hall, Waterford.  The current Councillors for this area are : 

"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/jpower.htm,Waterford City & County Council :  Current Councillor Jody Power,"
Councillor JODY POWER
			The Green Party
 Current Councillor Power was elected to Waterford City & County Council in the Local Elections of May 2019.
"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/mroche.htm,Waterford City & County Council :  Current Councillor Mary Roche,"
Councillor MARY ROCHE
			Social Democrats
		E-Mail: cllrmroche@waterfordcouncil.ie

        Mobile: 087 2273206


"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/pfitzgerald.htm,Waterford City & County Council :  Current Councillor Pat Fitzgerald,"
Councillor PAT FITZGERALD
			Sinn FÈin
		E-Mail: cllrpfitzgerald@waterfordcouncil.ie
Telephone: 051 383285
        Mobile: 087 7450994

Address: Leperstown, Dunmore East, Co. Waterford.

"
Waterford City & County Council,council/councillors/metropolitan/watcity-east/skeating.htm,Waterford City & County Council :  Current Councillor Stephanie Keating ,"
Councillor STEPHANIE KEATING
			Fianna F·il
		E-Mail: cllrskeating@waterfordcouncil.ie
        Mobile: 087  1990755

"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/dbarry.htm,Waterford City & County Council :  Current Councillor Donal Barry,"
Councillor DONAL BARRY
			Non Party
 Current Councillor Barry was elected to Waterford City & County Council in the Local Elections of May 2019.Address: 17 German Road, St. John's Park, Waterford.
"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/fquinlan.htm,Waterford City & County Council :  Current Councillor Frank Quinlan ,"
Councillor FRANK QUINLAN
			Fine Gael
		E-Mail: cllrfquinlan@waterfordcouncil.ie

        Mobile: 087-9386619 

Contact Address: 31 Parnell Street, Waterford, X91 KD7X
    
NOTE:  Current Councillor Quinlan was co-opted onto Waterford City & County Council at the AGM of 24th June 2020, replacing  Current Councillor John Cummins, who was elected to Seanad …ireann in April 2020.

NOTE:  Current Councillor Quinlan was co-opted onto Waterford City & County Council at the AGM of 24th June 2020, replacing  Current Councillor John Cummins, who was elected to Seanad …ireann in April 2020.
"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/index.htm,Waterford City & County Council : Waterford City South,"""Waterford City South"" is the electoral area representing the southern parts of Waterford City and its hinterland.  This electoral area, along with Tramore - Waterford City West and Waterford City East, make up the Waterford Metropolitan District. 

Waterford City South has 6 elected members.   The Metropolitan Council meets once per month, with meetings scheduled for the third Monday of every month (except August). The venue for these meetings is the Council Chamber, City Hall, Waterford.  The current Councillors for this area are : 

"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/jbailey.htm,Waterford City & County Council :  Current Councillor Breda Brennan,"
Councillor JOEANNE BAILEY
Sinn FÈin
 †
		E-Mail: cllrjbailey@waterfordcouncil.ie

        Mobile: 086 1662825

Sinn FÈin †
"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/jhearne.htm,Waterford City & County Council :  Current Councillor John Hearne," 
 Councillor JOHN HEARNE
			Sinn FÈin
		E-Mail: cllrjhearne@waterfordcouncil.ie

        Mobile: 089-4352404

Address: 230 Larchville, Waterford.
"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/jmurphy.htm,Waterford City & County Council :  Current Councillor Jason Murphy," 
 Councillor JASON MURPHY
			Fianna F·il
 Current Councillor Murphy is the current Metropolitan Mayor of Waterford.
		E-Mail: cllrjamurphy@waterfordcouncil.ie

        Mobile: 087 2921089

Address: 275 Larchville, Waterford.
"
Waterford City & County Council,council/councillors/metropolitan/watcity-south/sryan.htm,Waterford City & County Council :  Current Councillor SÈamus Ryan," 
 Councillor S…AMUS RYAN
			The Labour Party

		    E-Mail: cllrsryan@waterfordcouncil.ie

        Mobile: 087 6805314
Address: 4 Ursuline Court, Waterford.
"
Waterford City & County Council,council/dungarvan-lismore.htm,Waterford City & County Council : Dungarvan/Lismore District Council,"The Dungarvan/Lismore Council is that constituent part of Waterford City & County Council, which represents the Dungarvan/Lismore area. There are 9 local councillors (elected representatives) for this district.Regular meetings are scheduled for the second Monday of every month (except August).  The venue for meetings is the Council Chamber, Dungarvan.  
 The current Cathaoirleach of the Dungarvan/Lismore district is  Current Councillor Pat Nugent. Current Councillor Tom Cronin is Leas Cathaoirleach.
"
Waterford City & County Council,council/metropolitan.htm,Waterford City & County Council : Metropolitan District Council,"The Metropolitan Council is that constituent part of Waterford City & County Council, which represents the Waterford City, Tramore, Passage East and Dunmore East areas and their hinterlands. There are 18 elected representatives for this district, which is made up of three local government electoral areas, each with 6 Councillors - Tramore & Waterford City West, Waterford City East and Waterford City South.  Click on the name of the area to see the Councillors for each. The current chairperson (Mayor) of the Metropolitan District is  Current Councillor Jody Power (Green Party).  The deputy metropolitan Mayor is  Current Councillor Crist√É ≠ona Kiely (Green Party).Regular meetings are scheduled for the third Monday of every month (except August). The venue for these meetings is the Council Chamber, City Hall, Waterford.  
 
"
Waterford City & County Council,council/openness-transparency/cpg.htm,Waterford City & County Council : Corporate Policy Group,"The Corporate Policy Group is a formal committee of the Council, consisting of the Mayor of the day and the Chairs of the 5 Strategic Policy Committees (SPCs).   The CPG may advise and assist the elected Council in the formulation, development, monitoring and review of policy for the Council and propose arrangements for the consideration of policy matters and the organisation of related business by the elected council. The CPG meets monthly in the week prior to the Plenary Council meeting. 
"
Waterford City & County Council,council/openness-transparency/ethics/ethics-register.htm,Waterford City & County Council : Ethics Register,"

Under the Local Government Act 2001 provision has been made for an ethical framework to operate within local government. It includes a publicly accessible register.
Implementation of the new ethics framework.The new ethics framework for members and for relevant employees was implemented with effect from 1st January 2003. This required a number of actions to be taken by local authorities, such as putting procedures in place to deal with:Waterford  City & County Council currently assign the duties of Ethics Registrar within the Corporate Section by Chief Executive's Order, under Section 173 of the Act. The Ethics Registrar is responsible for the issue of the annual declaration forms to councillors and relevant employees.  Nobody may hold this position for more than two years.Ethics Register
   
      
    A register of interests is compiled from the annual declarations and made available for public inspection at Waterford City & County Council, City Hall, The Mall, Waterford.The employees to whom Part 15 will apply are known as ""relevant employees"". They are:Replacement of Planning Act Provisions   

Part 15 of the Local Government Act 2001 replaces the provisions contained in Part VII of Planning and Development Act 2000 regarding declaration/disclosure by local authority members and staff.  However, any declarations furnished under that Planning Act (or under the old 1976 Planning Act) will stand until replaced by declarations under Part 15.
Main features of Part 15 of Local Government Act, 2001 †Complaints against CouncillorsTo make a complaint, please read the Protocol for Dealing with Complaints made against Elected Members, and then fill in the Complaint Form. Please be advised that the complaints need to be based on a breach of the Councillors Code of Conduct.
Contact  
  Ethics Registrar, Corporate section, Waterford City & County Council The Mall, Waterford  Phone: 0818 102020email:  eregistrar@waterfordcouncil.ie † †
"
Waterford City & County Council,council/openness-transparency/financials/councillors-expenses.htm,Waterford City & County Council : Councillors' Expenses,"The attached summary shows all public payments made to Councillors for 2015 - 2022.  †Register of Councillors Expenses from Outside Bodies
The attached Registers under S.142 and S.143 of the Local Government Act 2001 detail payments made to each Councillor in respect of attendance at training and conferences for each quarter from 2015 to the present.
"
Waterford City & County Council,council/openness-transparency/financials/donation-statements.htm,Waterford City & County Council : Councillors' Donation Statements,"The attached summary, under the Local Elections (Disclosure of Donations & Expenditure) Act 1999, shows information on donations made to Waterford Councillors.
      
  Statements in relation to Local Elections 2019
"
Waterford City & County Council,council/openness-transparency/financials/pay-grades.htm,Waterford City & County Council : Pay Grades,"
The following document, as directed by the Minister for the Environment, Heritage and Local Government, conveys instructions to Local Authorities in relation to the application of pay adjustments, which came into effect from 1st January 2010 in accordance with the Financial Emergency Measures in the Public Interest (No.2) Act 2009.
    
    
"
Waterford City & County Council,council/openness-transparency/governance/ce.htm,Waterford City & County Council : Chief Executive,"
Chief Executive - MICHAEL WALSH   

		E-Mail: manager@waterfordcouncil.ie

        Telephone: 051 849 914

Office: City Hall, The Mall, Waterford.
The Chief Executive's background is one of engineering, graduating from UCC in 1983 with a Civil Engineering degree. He started his career in Local Government with Waterford County Council in 1983 and worked between there and Limerick City Council for a number of years at various engineering posts until 2000 when he was appointed as Senior Executive Engineer in the former Waterford City Council.From there he progressed to the post of Director of Services and became Waterford City Manager in November 2007. In June 2014, Michael was appointed Chief Executive of the newly amalgamated Waterford City & County Council. He is the current chair of the Housing and Building Sub Committee of the City and County Managers' Association.
"
Waterford City & County Council,council/openness-transparency/governance/management-team.htm,Waterford City & County Council : Management Team,"Management Team 
Waterford City & County Council's management structure is split into 5 directorates, each headed by a Director of Services.  The Chief Executive, Mr. Michael Walsh, leads the management team.  
Regulation of Lobbying 
Set out hereunder are the Designated Public Officials for Waterford City & County Council. Each Elected Member of Waterford City & County Council is also a 'Designated Public Official' under this Act. †Transparency Code
The Minister for Public Expenditure and Reform has prepared and published a code, known as the ""Transparency Code"", which sets out how certain relevant public bodies, such as ministerial advisory groups, may conduct their activities in a transparent way. By adhering to the Transparency Code, communications within these bodies would meet the exemption from the requirement to register and report on lobbying activities.	  
  Please direct all initial enquiries to Customer Services at contact@waterfordcouncil.ie or call 0818 10 20 20
"
Waterford City & County Council,council/openness-transparency/governance/mayor.htm,Waterford City & County Council : Mayor of Waterford City & County Council,"At the AGM of the Plenary Council held on 29th June 2023,  Current Councillor Joe Conway (Ind) was elected Mayor of the City and County of Waterford.The Deputy Mayor is  Current Councillor Declan Doocey (FG).If you would like to contact Joe you can email mayor@waterfordcouncil.ie or cllrjconway@waterfordcouncil.ieTo find out more about the Mayoralty and mayoral protocol, please see the Mayor's Office page.
"
Waterford City & County Council,council/openness-transparency/protected-disclosures.htm,Waterford City & County Council : Protected Disclosures,"A Protected Disclosure is defined in the Protected Disclosures Act, 2014 as a disclosure of information which, in the reasonable belief of the worker, tends to show one or more ""òrelevant wrongdoings', which came to the attention of the worker in connection with the worker's employment and is disclosed in the manner prescribed in the Protected Disclosures Act, 2014.Waterford City & County Council is committed to ensuring that the culture and work environment are such that any employee/worker is encouraged and supported to report on any issue that may impact adversely on Waterford City & County Council's ability to deliver a high quality service. Yearly Statements


Protected Disclosures Annual Report 2022
Protected Disclosures Annual Report 2021
Protected Disclosures Annual Report 2020
Protected Disclosures Annual Report 2019
Protected Disclosures Annual Report 2018
Protected Disclosures Annual Report 2017

"
Waterford City & County Council,council/openness-transparency/spcs.htm,Waterford City & County Council : Strategic Policy Committees (SPCs),"Waterford City & County Council operates 5 Strategic Policy Committees (SPCs), each served by the relevant Director of Service.  The Chairs of the SPCs are selected by the Council at the AGM.   The SPCs are sub-committees of Waterford City and Council and must abide by the Standing Orders and rules of procedure of the Council.   The quorum for a meeting is one-fourth of the total number of members of the SPC plus one or, where one-fourth of such total number is not a whole number; the quorum is the next highest whole number plus one.  Of this number there should be 3 elected members present.   If the Chair is unable to attend, his/her place shall be taken by another elected member of the SPC.Following consultation with the Public Participation Network(PPN) and National Pillars, and taking on board the stated preferences of the elected members, (in so far as is possible), the following format for the SPCs was approved by the members of Waterford City and County Council at the September 2019 Meeting.Each Strategic Policy Committee shall meet as often as required, and at least four times a year, to deal with the business assigned to it.   Five days clear notice will be given for meetings of the SPC and where possible there will be an agreed schedule for meetings.The Community and Voluntary, Social Inclusion and Environmental representatives will be nominated by the Waterford Public Participation Network, subject to the endorsement of the environment reps by the National Environmental Pillar.  Sectoral groups are to be requested to submit nominations within 4 weeks.Where an SPC member misses 3 consecutive meetings the nominating body will be requested to nominate a replacement. A warning will be issued by the relevant Director following a member not attending 2 consecutive meetings without reason.The dates, times and locations of the SPC meetings are matters for each individual SPC to determine.  The Plenary Mayor is an ex-officio member of each of the SPCs and may attend any such meeting at his/her discretion. 
Training will be provided for SPC members. The operation of all SPCs will be carried out as outlined in Circular LG 07/2014 on the ""òEstablishment of New Strategic Policy Committees (SPCs)'.Economic Development and Enterprise SPC - Chair:  Current Councillor Pat Nugent
Michael Quinn - Director of Services
"
Waterford City & County Council,council/plenary.htm,Waterford City & County Council : Plenary Council,"The Plenary Council is the term that refers to Waterford City & County Council as a whole, it being the sum of the constituent districts of Comeragh, Dungarvan/Lismore and the Metropolitan District of Waterford. 

The Plenary Council has 32 elected members, each representing one of the above named districts.  The current members of Council were elected in the local elections of 2019, or subsequently co-opted.  The current chairman (Mayor) of the Plenary Council is  Current Councillor Joe Conway  (Ind).  The Deputy Mayor is  Current Councillor Declan Doocey (FG).Each Elected Member of Waterford City & County Council, the Chief Executive and Members of Senior Management Team are also designated Public Officials under the Regulation of Lobbying Act 2015.The Plenary Council meets once per month, with meetings scheduled for the second Thursday of every month. Venues alternate between the Council Chambers in Waterford City and those in Dungarvan. There is no meeting of the Plenary Council in August. 
 
 Members of Waterford City & County Council
designated Public Officials under the Regulation of Lobbying Act 2015.







NAME
PARTY
ELECTORAL DISTRICT


Liam Brazil
Fine Gael
Comeragh


Declan Clune
Independent
Comeragh


Ger Barron
Labour Party
Comeragh


John O'Leary
Fianna F·il
Comeragh


Se·nie Power
Fine Gael
Comeragh


Tom Cronin 
Fianna F·il
Dungarvan / Lismore


Declan Doocey
Fine Gael
Dungarvan / Lismore


Damien Geoghegan
Fine Gael
Dungarvan / Lismore


Pat Nugent
Fine Gael
Dungarvan / Lismore


SÈamus O'Donnell
Independent
Dungarvan / Lismore


John Pratt
Labour Party
Dungarvan / Lismore


Thomas Phelan
Labour Party
Dungarvan / Lismore


MairÈad Tobin
Fianna F·il
Dungarvan / Lismore


Conor D. McGuinness
Sinn FÈin
Dungarvan / Lismore


Joe Conway
Independent
Tramore & Waterford City West


Jim Griffin
Sinn FÈin
Tramore & Waterford City West


Cristiona Kiely
Green Party
Tramore & Waterford City West


Joe Kelly
Independent
Tramore & Waterford City West


Lola O'Sullivan
Fine Gael
Tramore & Waterford City West


Eamon Quinlan
Fianna F·il
Tramore & Waterford City West


Jody Power
Green Party
Waterford City East


David Daniels
Independent
Waterford City East


Pat Fitzgerald
Sinn FÈin
Waterford City East


Stephanie Keating
Fianna F·il
Waterford City East


Mary Roche
Social Democrats
Waterford City East


Adam Wyse
Fianna F·il
Waterford City East


Joeanne Bailey
Sinn FÈin
Waterford City South


Frank Quinlan
Fine Gael
Waterford City South


John Hearne
Sinn FÈin
Waterford City South


Donal Barry
Independent
Waterford City South


SÈamus Ryan
Labour Party
Waterford City South


Jason Murphy
Fianna F·il
Waterford City South








Members of Waterford City & County Council
designated Public Officials under the Regulation of Lobbying Act 2015.







NAME
PARTY
ELECTORAL DISTRICT


Liam Brazil
Fine Gael
Comeragh


Declan Clune
Independent
Comeragh


Ger Barron
Labour Party
Comeragh


John O'Leary
Fianna F·il
Comeragh


Se·nie Power
Fine Gael
Comeragh


Tom Cronin 
Fianna F·il
Dungarvan / Lismore


Declan Doocey
Fine Gael
Dungarvan / Lismore


Damien Geoghegan
Fine Gael
Dungarvan / Lismore


Pat Nugent
Fine Gael
Dungarvan / Lismore


SÈamus O'Donnell
Independent
Dungarvan / Lismore


John Pratt
Labour Party
Dungarvan / Lismore


Thomas Phelan
Labour Party
Dungarvan / Lismore


MairÈad Tobin
Fianna F·il
Dungarvan / Lismore


Conor D. McGuinness
Sinn FÈin
Dungarvan / Lismore


Joe Conway
Independent
Tramore & Waterford City West


Jim Griffin
Sinn FÈin
Tramore & Waterford City West


Cristiona Kiely
Green Party
Tramore & Waterford City West


Joe Kelly
Independent
Tramore & Waterford City West


Lola O'Sullivan
Fine Gael
Tramore & Waterford City West


Eamon Quinlan
Fianna F·il
Tramore & Waterford City West


Jody Power
Green Party
Waterford City East


David Daniels
Independent
Waterford City East


Pat Fitzgerald
Sinn FÈin
Waterford City East


Stephanie Keating
Fianna F·il
Waterford City East


Mary Roche
Social Democrats
Waterford City East


Adam Wyse
Fianna F·il
Waterford City East


Joeanne Bailey
Sinn FÈin
Waterford City South


Frank Quinlan
Fine Gael
Waterford City South


John Hearne
Sinn FÈin
Waterford City South


Donal Barry
Independent
Waterford City South


SÈamus Ryan
Labour Party
Waterford City South


Jason Murphy
Fianna F·il
Waterford City South








"
Waterford City & County Council,council/voting-elections/electoral-areas.htm,Waterford City & County Council : Waterford's Electoral Areas,"As part of the amalgamation process of the former Waterford City Council and Waterford County Councils, to form Waterford City & County Council, the electoral areas within County Waterford were redrawn and 32 new councillors elected to them, following the local elections of  2014 and 2019. For election purposes, there are 6 electoral areas in Waterford City and County, namely :   
     
"
Waterford City & County Council,council/voting-elections/eligibility.htm,Waterford City & County Council : Eligibility to Vote,"Who can vote ?
Citizenship determines the elections at which an elector may vote. At present the right to vote is as follows:Conditions for Registration
Notes: If you have no address,  you can register with  Äòno fixed address.' You must then give an address where you can  receive correspondence.Deadline for registering to  vote
Your application  must be received by the local authority at least 15 days before an election or  referendum (excluding Sundays, Good Friday and public holidays). If it is  received on or after 14 days before an election or referendum is taking place,  you will not be registered to vote in that election or referendum. †
"
